Character,Distribution_english,Distribution_spanish
a,0.06473381654586353,0.11776447105788423
b,0.014496375906023495,0.016749110474702768
c,0.013496625843539115,0.03323787208192311
d,0.035741064733816545,0.03939946194567387
e,0.10547363159210198,0.10327171743469582
f,0.0142464383904024,0.0019092250282044605
g,0.016745813546613347,0.009372559229367352
h,0.0519870032491877,0.007897248980300269
i,0.05598600349912522,0.05137550984986548
j,0.000999750062484379,0.005554109172958431
k,0.008747813046738315,8.678295582747549e-05
l,0.04323919020244939,0.04408574156035754
m,0.015996000999750064,0.022563568515143625
n,0.06223444138965259,0.05033411437993578
o,0.0664833791552112,0.07602186930486853
p,0.011497125718570358,0.023084266250108478
q,0.0004998750312421895,0.010153605831814632
r,0.04998750312421894,0.057189967890306344
s,0.04423894026493377,0.05233012236396772
t,0.06948262934266433,0.03245682547947583
u,0.023494126468382906,0.035407445977609996
v,0.005748562859285179,0.009806474008504729
w,0.02074481379655086,8.678295582747549e-05
x,0.0014996250937265683,0.000520697734964853
y,0.015496125968507872,0.008504729671092597
z,0.0007498125468632841,0.003558101188926495
 ,0.19245188702824295,0.18467413000086783
